name
"Birmingham, George A."
"Janvier, Thomas A. (Thomas Allibone)"
"Bigges, Walter"
"Chapin, E. H. (Edwin Hubbell)"
"Fitzhugh, Percy Keese"
"Alger, Horatio, Jr."
"Crane, Stephen"
"Hague, W. Grant (William Grant)"
"More, Hannah"
"Burt, Nathaniel Clark"
"Fisher, Irving"
"MacDonald, John A. (John Alexander)"
"Unknown Author"
"Rinehart, Mary Roberts"
"Waters, W. G. (William George)"
"Barnum, Vance"
"Hurll, Estelle M. (Estelle May)"
"Various"
"Hodgkin, L. V. (Lucy Violet)"
"Stevenson, James"
"Hope, Laura Lee"
"Van Dyke, Henry"
"Clayton, Joseph"
"Lang, Andrew"
"Butler, Samuel"
"Harnack, Adolf von"
"Harnack, Adolf von"
"Walpole, Hugh, Sir"
"Richmond, Legh"
"Sidney, Philip"
"McGee, W. J. (William John)"
"Rinehart, Mary Roberts"
"Unknown Author"
"Unknown Author"
"McCabe, James Dabney"
"Ewing, Juliana Horatia Gatty"
"Mabie, Hamilton Wright"
"Quayle, William A. (William Alfred)"
"Harris, Joel Chandler"
"Tracy, Louis"
"Sabatini, Rafael"
"Norton, Andre"
"Anson, Adrian Constantine"
"Stephen, Leslie"
"Hall, James Norman"
"Herrick, Robert"
"Sinclair, May"
"McMurry, Charles A. (Charles Alexander)"
"Buchan, John"
"Evans, E. Everett (Edward Everett)"
"Bailey, Carolyn Sherwin"
"Cooper, Elizabeth"
"Eddy, Mary Baker"
"Mussey, R. D. (Reuben Dimond)"
"Hobart, George V. (George Vere)"
"Durham, M. E. (Mary Edith)"
"Balzac, Honoré de"
"Richmond, Legh"
"Stevenson, Burton Egbert"
"Naylor, Edward W. (Edward Woodall)"
"Balzac, Honoré de"
"Unknown Author"
"Thackeray, William Makepeace"
"Newman, John Henry"
"Hudson, W. H. (William Henry)"
"Omond, George W. T. (George William Thomson)"
"Van Dyke, Henry"
"Lawrence, Eugene"
"Hall, Angelo"
"Schauffler, Robert Haven"
"Benson, Robert Hugh"
"Various"
"Unknown Author"
"Rinehart, Mary Roberts"
"Ayres, May"
"Holmes, Mary Jane"
"Cable, George Washington"
"Lawrence, George A. (George Alfred)"
"Rohmer, Sax"
"Tracy, Louis"
"Greene, Sarah Pratt McLean"
"Rockwell, Carey"
"Butler, Samuel"
"MacGill, Patrick"
"Maeterlinck, Maurice"
"Fillmore, Parker"
"Henty, G. A. (George Alfred)"
"Quennell, C. H. B. (Charles Henry Bourne)"
"James, Henry"
"James, Henry"
"Cody, Sherwin"
"Nennius, active 796"
"Unknown Author"
"Stevenson, Robert Louis"
"Mindeleff, Cosmos"
"Head, James H."
"Livy"
"Bradley, Marion Zimmer"
"Unknown Author"
"Lang, Andrew"
"Herbert, Henry William"
"Rockwood, Roy"
"Caine, Hall, Sir"
"Craik, Dinah Maria Mulock"
"Stringer, Arthur"
"Hope, Laura Lee"
"Bloxam, Matthew Holbeche"
"Unknown Author"
"Aristotle"
"Martin, Gene Allen"
"Williamson, A. M. (Alice Muriel)"
"Allen, Quincy"
"Stevenson, Adlai E. (Adlai Ewing)"
"Chesnutt, Charles W. (Charles Waddell)"
"Willoughby, Barrett"
"Rowbotham, Francis Jameson"
"Collins, Wilkie"
"Stevenson, Robert Louis"
"Quiller-Couch, Arthur"
"Hope, Anthony"
"Brown, Peter Hume"
"Freytag, Gustav"
"United States. Council of National Defense. Highways Transport Committee"
"United States. Council of National Defense. Highways Transport Committee"
"United States. Council of National Defense. Highways Transport Committee"
"Oppenheim, E. Phillips (Edward Phillips)"
"Meade, L. T."
"Hinkle, Thomas C. (Thomas Clark)"
"Knibbs, Henry Herbert"
"Garland, Hamlin"
"Laut, Agnes C."
"Freeman, Mary Eleanor Wilkins"
"Shorter, Clement King"
"Abbot, Francis Ellingwood"
"Various"
"Racine, Jean"
"Todhunter, I. (Isaac)"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Denslow, W. W. (William Wallace)"
"Anonymous"
"Murfree, Mary Noailles"
"Thomas, Cyrus"
"Various"
"Field, Ellen Robena"
"New Zealand. National Library Service"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Perdue, Mitzi"
"Fowler, Ellen Thorneycroft"
"United States. Council of National Defense. Highways Transport Committee"
"Unknown Author"
"Unknown Author"
"Sharpe, Reginald R. (Reginald Robinson)"
"Fortescue, J. W. (John William), Sir"
"Stretton, Hesba"
"Stephen, Geo. A. (George Arthur)"
"Potter, Beatrix"
"Williamson, A. M. (Alice Muriel)"
"Summerfield, John"
"Macduff, John R. (John Ross)"
"Cather, Willa"
"Lubbock, Percy"
"Taft, William H. (William Howard)"
"Ade, George"
"Rose, C. A."
"Fitzhugh, Percy Keese"
"Hope, Laura Lee"
"Bruno, Giordano"
"Harben, Will N. (Will Nathaniel)"
"Milton, John"
"Various"
"Lock, H. O. (Henry Osmond)"
"Ford, Sewell"
"Lowry, E. B. (Edith Belle)"
"Hare, Walter Ben"
"Various"
"Boutwell, George S. (George Sewall)"
"Ade, George"
"Tarkington, Booth"
"Moody, Dwight Lyman"
"Davis, Jefferson"
"Bruno, Giordano"
"Smith, Mabell S. C. (Mabell Shippie Clarke)"
"Unknown Author"
"Various"
"Saleeby, C. W. (Caleb Williams)"
"Wood, William Charles Henry"
"Thackeray, William Makepeace"
"Dixon, Royal"
"Rinehart, Mary Roberts"
"Crabb, James"
"Orton, George W."
"May, E. J. (Edith J.)"
"Mindeleff, Victor"
"Scott, Frederick George"
"Ewing, Juliana Horatia Gatty"
"Bunyan, John"
"Anonymous"
"Harland, Henry"
"Tytler, Sarah"
"Standish, Burt L."
"Caldecott, Randolph"
"Bacon, Josephine Daskam"
"Adams, Andy"
"Bradley, John William"
"Velimirović, Nikolaj"
"Gosse, Edmund"
"Bain, F. W. (Francis William)"
"Thayer, William Makepeace"
"Nasmith, George G. (George Gallie)"
"Finnemore, John"
"Leighton, Marshall Ora"
"English, George Bethune"
"Unknown Author"
"Mills, Wesley"
"Eley, C. King"
"Black, C. B."
"Mulholland, Clara"
"Wurdz, Gideon"
"Various"
"Richards, Laura Elizabeth Howe"
"Unknown Author"
"Fisher, Sydney George"
"Eggleston, Edward"
"Riley, James Whitcomb"
"Russell, William Clark"
"Unknown Author"
"Thackeray, William Makepeace"
"Grant, James, archaeologist"
"Williamson, A. M. (Alice Muriel)"
"Barnfield, Richard"
"Various"
"Wilde, Percival"
"Shaw, Thomas"
"Bigwood, Inez"
"Fraser, Chelsea Curtis"
"Boyesen, Hjalmar Hjorth"
"Unknown Author"
"Lang, Andrew"
"McSpadden, J. Walker (Joseph Walker)"
"United States. Congress. House. Committee on Science and Astronautics."
"Davy (An Englishman)"
"Dorsey, James Owen"
"Arbuthnot, F. F."
"Hoffmann, Heinrich"
"La Motte, Ellen N. (Ellen Newbold)"
"Hentzner, Paul"
"Holmes, William Henry"
"Romanes, George John"
"Ontario. Ministry of Education"
"Kellogg, John Harvey"
"Andrews, William"
"Unknown Author"
"Various"
"King, Charles"
"Old Sleuth"
"Jerome, Jerome K. (Jerome Klapka)"
"Baker, Willard F."
"Wilde, Percival"
"United States. Work Projects Administration"
"Cluthe Rupture Institute"
"Morley, John"
"Herbert, Minie"
"Unknown Author"
"Wilson, John"
"Anderson, Rufus"
"Lang, Andrew"
"Bluett, Antony"
"Voltaire"
"Hayward, Rachel"
"De Benneville, James S. (James Seguin)"
"De Benneville, James S. (James Seguin)"
"Henry, Stuart Oliver"
"Glass, Montague"
"Unknown Author"
"Dante Alighieri"
"Thomas, Aquinas, Saint"
"Taylor, Edward C."
"King, Charles"
"Holmes, William Henry"
"Fiske, James"
"Henderson, W. J. (William James)"
"Unknown Author"
"Dante Alighieri"
"Mindeleff, Cosmos"
"Peacocke, Isabel M. (Isabel Maud)"
"Smith, George O. (George Oliver)"
"Dye, Charles"
"Rucker, William Colby"
"Fitzgerald, Robert"
"Anonymous"
"Stephens, C. A. (Charles Asbury)"
"Hope, Laura Lee"
"Dante Alighieri"
"Zamin Ki Dost"
"Unknown Author"
"Ward, John Montgomery"
"Unknown Author"
"Quiller-Couch, Arthur"
"Pessoa, Fernando"
"Ashton, John"
"Nietzsche, Friedrich Wilhelm"
"Ruskin, John"
"Duncan, Norman"
"Cooper, James Fenimore"
"Beech, Franklin"
"Ghusayn, Fa'iz"
"Twain, Mark"
"Blanchard, Amy Ella"
"Slosson, Annie Trumbull"
"Huxley, Aldous"
"Jewell, F."
"Unknown Author"
"Unknown Author"
"Aesop"
"Various"
"Various"
"Ober, Frederick A. (Frederick Albion)"
"Allen, Lewis Falley"
"Trowbridge, J. T. (John Townsend)"
"United States"
"Milton, John"
"Project Gutenberg"
"Westmacott, C. M. (Charles Molloy)"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Davis, Noah"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Disraeli, Benjamin, Earl of Beaconsfield"
"Unknown Author"
"Thompson, Charles Miner"
"Gladstone, William Henry"
"Bonnycastle, Richard Henry, Sir"
"D'Annunzio, Gabriele"
"Spender, Harold"
"Unknown"
"McIntosh, Maria J. (Maria Jane)"
"Ruskin, John"
"Browning, Elizabeth Barrett"
"Shute, Henry A. (Henry Augustus)"
"Victoria, Queen of Great Britain"
"Matthewman, Lisle de Vaux"
"Stimson, Frederic Jesup"
"Lewis, C. S. (Clive Staples)"
"Henty, G. A. (George Alfred)"
"Unknown Author"
"Rice, Alice Caldwell Hegan"
"O'Donnell, Elliott"
"Butler, Ellis Parker"
"Sherman, V. T."
"United States Tariff Commission"
"Higgins, Charlotte M."
"Brand, Max"
"Wodehouse, P. G. (Pelham Grenville)"
"Yechton, Barbara"
"Stratemeyer, Edward"
"Dougall, L. (Lily)"
"Morris, Charles"
"Munn, Charles Clark"
"Chesterton, G. K. (Gilbert Keith)"
"Wallace, Dillon"
"Collins, Wilkie"
"Hodgkin, Thomas"
"Parton, James"
"Blaine, James Gillespie"
"Taft, William H. (William Howard)"
"Cushing, Frank Hamilton"
"Baldwin, May"
"Tetrazzini, Luisa"
"Lyall, Edna"
"Hemenway, Hetty"
"Meade, L. T."
"Appleton, Everard Jack"
"Carmichael, R. D. (Robert Daniel)"
"Gasquoine, C. P. (Charles Penrhyn)"
"Smedley, Frank E. (Frank Edward)"
"Coolidge, Dane"
"Zangwill, Israel"
"Sands, George W."
"Dyer, Gertrude P."
"Tytler, Sarah"
"King, Charles"
"Lucas, E. V. (Edward Verrall)"
"Stacpoole, H. De Vere (Henry De Vere)"
"James, Henry"
"Richards, Fred"
"Patchin, Frank Gee"
"Various"
"Darwin, Charles"
"De Quincey, Thomas"
"Henty, G. A. (George Alfred)"
"Henty, G. A. (George Alfred)"
"Various"
"Brooks, Charles S. (Charles Stephen)"
"Owen, Elias"
"Bailey, Arthur Scott"
"Hunter, William Crosbie"
"Abbott, Edwin Abbott"
"Darwin, Charles"
"King, Charles"
"Various"
"Cooper, Courtney Ryley"
"Mann, Henry"
"Benson, Irene Elliott"
"Thomson, M. Pearson"
"Boutwell, George S. (George Sewall)"
"Stockton, Frank Richard"
"Laut, Agnes C."
"Huard, Frances Wilson"
"Towne, Ellis"
"Lear, Edward"
"Unknown Author"
"Frazer, James George"
"Various"
"Fleming, Oliver"
"Meynell, Alice"
"Chiniquy, Charles Paschal Telesphore"
"McGuire, John Joseph"
"Dumas, Alexandre"
"Van Dyke, Henry"
"Costello, Louisa Stuart"
"Lippmann, Walter"
"McNeil, Everett"
"Stephens, James"
"Crofts, Freeman Wills"
"G. W."
"Hornblow, Arthur"
"Rockwood, Roy"
"Hope, Laura Lee"
"Hope, Laura Lee"
"Wallin, Johan Olof"
"Unknown Author"
"Scholten, Johannes Henricus"
"Kingsley, Charles"
"Huneker, James"
"Lowndes, Marie Belloc"
"Morris, Elisabeth Woodbridge"
"Voltaire"
"Strohm, Rufus T. (Rufus Tracy)"
"Goodwin, Harold L. (Harold Leland)"
"Chesterton, G. K. (Gilbert Keith)"
"Conrad, Joseph"
"Lewis, Harry A."
"Hay, James"
"Various"
"Campbell, John W., Jr. (John Wood)"
"Cooper, Courtney Ryley"
"Bremer, Fredrika"
"Hichens, Robert"
"Byron, George Gordon Byron, Baron"
"United States. Central Intelligence Agency"
"Bacon, Leonard Woolsey"
"Bastiat, Frédéric"
"Brazil, Angela"
"Morley, John"
"Storey, G. A. (George Adolphus)"
"Robinson, Solon"
"Unknown Author"
"Barham, G. Basil (George Basil)"
"Taylor, Robt. L. (Robert Love)"
"Dargan, Olive Tilford"
"Griffith, George Chetwynd"
"Doyle, Edward"
"Mayne, Rutherford"
"Colman, George"
"Brant, Sebastian"
"Lang, Andrew"
"Mitchell, S. Weir (Silas Weir)"
"Riley, James Whitcomb"
"Morse, John Torrey"
"Stevens, C. M. (Charles McClellan)"
"Afton, Effie"
"Arnold, Robert"
"Richmond, Grace S. (Grace Smith)"
"MacMicking, Robert"
"Rinehart, Mary Roberts"
"Triemens, Joseph"
"Bygate, Joseph E."
"Levett Yeats, S. (Sidney)"
"Feehan, Mary Edward"
"Brandt, Johanna"
"Fletcher, F. Morley (Frank Morley)"
"Blore, George Henry"
"Gaines, Miriam"
"Borrow, George"
"Douglass, Frederick"
"Burroughs, Edgar Rice"
"Mant, Alicia Catherine"
"Tynan, Katharine"
"Unknown Author"
"Franklin, Benjamin"
"Ruskin, John"
"Unknown Author"
"Velimirović, Nikolaj"
"Henty, G. A. (George Alfred)"
"Ralphson, G. Harvey (George Harvey)"
"Anonymous"
"Conrad, Joseph"
"McMahan, Anna Benneson"
"Del Rey, Lester"
"Abbott, Eleanor Hallowell"
"Stanley, W."
"Orpen, William, Sir"
"Walsh, James J. (James Joseph)"
"Kotzebue, August von"
"Sarmiento de Gamboa, Pedro"
"Osborne, Duffield"
"Lang, Andrew"
"Betts, George Herbert"
"Unknown Author"
"Leffingwell, Albert"
"Ellis, Edward Sylvester"
"Smoot, Dan"
"Howells, William Dean"
"Whittier, John Greenleaf"
"Unknown Author"
"Jerome, Jerome K. (Jerome Klapka)"
"Mitchell, Ruth Comfort"
"Roberts, Charles G. D., Sir"
"Van Cleve, Charlotte Ouisconsin Clark"
"Buchanan, James"
"Tupper, Martin Farquhar"
"Freeley, Mary Belle"
"Cook, Dutton"
"Diver, Maud"
"Vitruvius Pollio"
"Jerome, Jerome K. (Jerome Klapka)"
"Francoeur, Jazno"
"Unknown Author"
"Stephens, C. A. (Charles Asbury)"
"Merriman, Henry Seton"
"Müller, George"
"Garland, Hamlin"
"Brooks, David Marshall"
"Barham, G. Basil (George Basil)"
"Farnol, Jeffery"
"Great Britain. Army. Highland Light Infantry. Battalion, 5th"
"Leighton, John"
"Van Dyke, Henry"
"Quincy, Josiah"
"Sterne, Laurence"
"Clarke, Margaret Bruce"
"Roosevelt, Wyn"
"Niemann, August"
"Sitwell, Florence Alice"
"Quiller-Couch, Arthur"
"Boswell, James"
"Haweis, H. R. (Hugh Reginald)"
"Molière"
"Korinek, Charles James"
"Rohmer, Sax"
"Vachell, Horace Annesley"
"Various"
"Colvin, Fred H. (Fred Herbert)"
"Hartley, C. Gasquoine (Catherine Gasquoine)"
"Cogger, Edward P."
"Carr, E. Donald (Edmund Donald)"
"Marlowe, Christopher"
"Howe, Reuel L."
"Ellis, J. Breckenridge (John Breckenridge)"
"Poore, Benjamin Perley"
"Bjørnson, Bjørnstjerne"
"Fox, John"
"Mathews, W. S. B. (William Smythe Babcock)"
"Hutchinson, Woods"
"Sheehan, Patrick Augustine"
"Carr, John, Sir"
"Sweetser, Kate Dickinson"
"Procopius"
"Emerson, Nathaniel Bright"
"Stowe, Harriet Beecher"
"King, L. W. (Leonard William)"
"Pollard, A. F. (Albert Frederick)"
"Unknown Author"
"Unknown Author"
"Twiss, Richard"
"King, Charles"
"Nathan, George Jean"
"Leslie, Emma"
"Kennedy, Sidney R. (Sidney Robinson)"
"Hope, Laura Lee"
"Unknown Author"
"Geikie, John Cunningham"
"Hope, Laura Lee"
"Kingsley, Charles"
"Graetz, Anna"
"Leavitt, Elizabeth Davis"
"Hall, Eugene Edward"
"Hubbard, Elbert"
"Various"
"Farjeon, Eleanor"
"Hemyng, Bracebridge"
"Casas, Bartolomé de las"
"Various"
"Yonge, Charlotte M. (Charlotte Mary)"
"Hope, Laura Lee"
"Hope, Laura Lee"
"Durston, George"
"Hope, Anthony"
"Reed, William Allan"
"Maeterlinck, Maurice"
"Dickson, Harris"
"MacArthur, Ruth Brown"
"Various"
"Various"
"Beck, James M. (James Montgomery)"
"Shaw, Bernard"
"Bligh, William"
"Various"
"Scott, Walter"
"Curtis, Alice Turner"
"Chase, Josephine"
"Chase, Josephine"
"Spinners' Club"
"Thomson, Edward William"
"Sergeant, Philip Walsingham"
"Hope, Laura Lee"
"Hope, Laura Lee"
"Hope, Laura Lee"
"Unknown Author"
"Various"
"Ewing, Juliana Horatia Gatty"
"Lemon, Mark"
"Unknown Author"
"Coombe, Florence"
"Gibbon, Perceval"
"Webster, Jean"
"Webster, Jean"
"Austin, Mary Hunter"
"Baker, Samuel White, Sir"
"Boswell, James"
"Lee, Gerald Stanley"
"Paine, Harriet E. (Harriet Eliza)"
"Various"
"Various"
"Murfree, Mary Noailles"
"Howes, Edith"
"Babcock, Bernie"
"Various"
"Various"
"Jerome, Jerome K. (Jerome Klapka)"
"Dum-Dum"
"Garrison, Theodosia Pickering"
"Hamilton, Frederick W. (Frederick William)"
"Field, Al. G. (Alfred Griffith)"
"Ward, Fred W."
"Various"
"Müller, George"
"Unknown Author"
"Coppée, François"
"Bedford, H. Louisa"
"Carson, Thomas"
"Ward, Humphry, Mrs."
"Harney, George S."
"Brewster, Edith Gilman"
"Christie, Grace"
"James, M. R. (Montague Rhodes)"
"Great Britain. Board of Trade. Railway Department"
"Lecky, William Edward Hartpole"
"Longfellow, Henry Wadsworth"
"Campbell, Douglas Houghton"
"Various"
"Plomer, Henry Robert"
"Rose, Geoffrey Keith"
"Maclaren, Ian"
"Chesterton, G. K. (Gilbert Keith)"
"De Quincey, Thomas"
"James, Lionel"
"Beard, Charles"
"Howells, William Dean"
"Brooke, Caris"
"Chase, Josephine"
"Ker, W. P. (William Paton)"
"Various"
"Various"
"Various"
"Weyman, Stanley John"
"Various"
"Murray, Margaret Alice"
"Warner, William"
"Thomson, J. Arthur (John Arthur)"
"Laut, Agnes C."
"Ferber, Edna"
"Wodehouse, P. G. (Pelham Grenville)"
"Stead, W. T. (William Thomas)"
"Ruskin, John"
"Benson, Arthur Christopher"
"Comstock, Harriet T. (Harriet Theresa)"
"Ewing, Juliana Horatia Gatty"
"Russell, E. S. (Edward Stuart)"
"Wilcox, Ella Wheeler"
"Adams, Nehemiah"
"Bartlett, Frederick Orin"
"Unknown Author"
"Winnington Ingram, Arthur F. (Arthur Foley)"
"Unknown Author"
"Alger, Horatio, Jr."
"Kingsley, Charles"
"Carter, Herbert, active 1909-1917"
"Mavrogordato, John"
"Pansy"
"Crane, Walter"
"Stuart, Ruth McEnery"
"Lutz, Alma"
"Adams, Henry"
"Shoemaker, Henry W."
"King, Basil"
"Various"
"Chamberlain, Lucia"
"Newman, John Philip"
"Ingersoll, Robert Green"
"Burroughs, John"
"Phillips, David Graham"
"Depew, Chauncey M. (Chauncey Mitchell)"
"Butler, Alban"
"Train, Arthur Cheney"
"FitzGerald, Edward"
"Stretton, Hesba"
"Marshall, Logan"
"Thomas, Cyrus"
"Bartlett, Frederick Orin"
"Stephen, Leslie"
"Brown, William Wells"
"Beatty, John"
"Bax, Ernest Belfort"
"Hentz, Caroline Lee"
"Tuttle, Edmund B. (Edmund Bostwick)"
"Butler, Joseph G. (Joseph Green)"
"Dame, Lorin Low"
"Bachman, William Elmer"
"Sidgwick, Frank"
"Unknown Author"
"Morton, Agnes H."
"Chase, Josephine"
"Chase, Josephine"
"Chase, Josephine"
"Chase, Josephine"
"Cooper, James Fenimore"
"Chapin, E. H. (Edwin Hubbell)"
"Martin, Theodore, Sir"
"Beard, Charles"
"Irving, Washington"
"Cheiro"
"Various"
"Manucy, Albert C."
"Egan, Pierce"
"Clouston, J. Storer (Joseph Storer)"
"Brown, Alice"
"Joyce, John A. (John Alexander)"
"Tyler, James Endell"
"Tyler, James Endell"
"Hazlitt, William"
"Scully, W. C. (William Charles)"
"Gilbert, Rosa M. (Rosa Mulholland)"
"Caswell, Harriet S."
"Rees, Arthur J. (Arthur John)"
"Ruland, Wilhelm"
"Pinkerton, Allan"
"Douglas, Alan, Captain"
"Thoreau, Henry David"
"Hawkins, Walter"
"Marshall, J. (John)"
"United States. Department of the Interior"
"Sigourney, L. H. (Lydia Howard)"
"New York evening journal"
"Dwight, James"
"Pittenger, William"
"Defoe, Daniel"
"Ade, George"
"Unknown Author"
"Glyn, Elinor"
"Marden, Orison Swett"
"Brady, Cyrus Townsend"
"Gale, Zona"
"Smith, George O. (George Oliver)"
"Defoe, Daniel"
"Woodcock, Henry"
"Various"
"Baldwin, James Mark"
"Gardner, Ernest Arthur"
"Gaylord, Glance"
"Alma, Maude"
"Barrett, Charles Raymond"
"Weetman, W. C. C."
"Jefferies, Richard"
"Smart, Hawley"
"Brownson, Orestes Augustus"
"Unknown Author"
"Wodehouse, P. G. (Pelham Grenville)"
"Wodehouse, P. G. (Pelham Grenville)"
"Penn, William"
"Hurlothrumbo"
"Orzeszkowa, Eliza"
"Various"
"FitzGerald, Edward"
"Salmond, James Bell"
"Wilberforce, Samuel"
"Blyth, James"
"Fenn, George Manville"
"Rees, Arthur J. (Arthur John)"
"Mulets, Lenore Elizabeth"
"White, Grace Miller"
"Morris, Charles"
"Dana, Richard Henry"
"Cummings, Ray"
"Unknown Author"
"Wilson, Robert H."
"Holmes, Edmond"
"Packard, A. S. (Alpheus Spring)"
"Ontario. Ministry of Education"
"Hurlothrumbo"
"Bangs, John Kendrick"
"Smith, George"
"Robinson, Forbes"
"Fern, Fanny"
"Thomson, Charles Goff"
"Various"
"Rogers, Will"
"Bennett, Virginia"
"Peterson, Henry"
"Grey, Zane"
"Elson, Arthur"
"Audoux, Marguerite"
"Unknown"
"Groome, Francis Hindes"
"Chappell, Clovis Gillham"
"Bennett, Charles H. (Charles Henry)"
"Byrne, Donn"
"Hugo, Victor"
"Russell, R. V. (Robert Vane)"
"Hobart, George V. (George Vere)"
"Carlyle, Thomas"
"Unknown Author"
"MacGregor, Morris J."
"Finlay, Roger Thompson"
"Fox, John"
"Brown, Frank Chouteau"
"Various"
"Beckford, William"
"Nesbit, E. (Edith)"
"Israëls, Jozef"
"Calhoun, A. R. (Alfred Rochefort)"
"Drummond, William Henry"
"Wilde, Oscar"
"Tupper, Martin Farquhar"
"Oppenheim, E. Phillips (Edward Phillips)"
"Quiller-Couch, Arthur"
"Finlay, Roger Thompson"
"Meredith, Ellis"
"Masefield, John"
"Old scout"
"Stratemeyer, Edward"
"Wardle, Joseph"
"Dryden, John"
"Lawrence, Josephine"
"Curnick, Edward T."
"Unknown Author"
"Unknown Author"
"Ford, Sewell"
"Ford, Sewell"
"Ford, Sewell"
"Ford, Sewell"
"Bower, B. M."
"Fletcher, J. S. (Joseph Smith)"
"Zangwill, Israel"
"Speed, Nell"
"Leacock, Stephen"
"Wynne, Ellis"
"Tomlinson, Abraham"
"Antin, Mary"
"Johnson, Samuel"
"Henty, G. A. (George Alfred)"
"Anonymous"
"Turner, Frederick Jackson"
"Kelley, Ruth Edna"
"Spencer, Anna Garlin"
"Daudet, Alphonse"
"Various"
"Steele, Richard, Sir"
"Piper, H. Beam"
"Garis, Howard Roger"
"Barbour, Ralph Henry"
"Stockton, Frank Richard"
"Unknown Author"
"Gregory, Mary Huston"
"Lawrence, D. H. (David Herbert)"
"McBride, Herbert W."
"Irving, Washington"
"Lamb, Mary"
"Piper, H. Beam"
"Grey, Zane"
"Sell, Edward"
"Field, Roswell Martin"
"Terman, Lewis M. (Lewis Madison)"
"Coppinger, Joseph"
"Nearing, Scott"
"Dellenbaugh, Frederick Samuel"
"Russell, R. V. (Robert Vane)"
"Punahou School"
"Ossendowski, Ferdynand Antoni"
"Stimpson, Herbert Baird"
"Lincoln, Joseph Crosby"
"Pinches, Theophilus G. (Theophilus Goldridge)"
"Farrow, G. E. (George Edward)"
"Veblen, Thorstein"
"Garland, Hamlin"
"Lucas, E. V. (Edward Verrall)"
"Garland, Hamlin"
"Bassett, Sara Ware"
"May, Sophie"
"Service, Robert W. (Robert William)"
"Grey, Zane"
"MacQueen, James"
"Various"
"Campbell, John W., Jr. (John Wood)"
"Seely, Herman Gastrell"
"Hedin, Sven Anders"
"Unknown Author"
"Sabin, Edwin L. (Edwin Legrand)"
"Kingsley, Charles"
"Ogden, George W. (George Washington)"
"Stewart, Jane L."
"Garland, Hamlin"
"Goldman, Emma"
"Bailey, Arthur Scott"
"Wodehouse, P. G. (Pelham Grenville)"
"Glyn, Elinor"
"Richmond, Grace S. (Grace Smith)"
"Benson, E. F. (Edward Frederic)"
"Douglas, Amanda M."
"Douglas, Amanda M."
"Anonymous"
"About, Edmond"
"Piper, H. Beam"
"Piper, H. Beam"
"Piper, H. Beam"
"Henty, G. A. (George Alfred)"
"Lang, Andrew"
"Brazil, Angela"
"Gordon, S. D. (Samuel Dickey)"
"Catullus, Gaius Valerius"
"Morley, John"
"Dillaway, Charles K. (Charles Knapp)"
"Eales, Mary"
"Galt, Katherine Keene"
"Chalmers, Amy D. V."
"Fontenay, Charles L."
"Burckhardt, Jacob"
"Unknown Author"
"Elwes, Alfred"
"Browning, Elizabeth Barrett"
"Spargo, John"
"Lockwood, Lewis C. (Lewis Conger)"
"Adams, F. Colburn (Francis Colburn)"
"Bremer, Fredrika"
"Bancroft, Jane M. (Jane Marie)"
"Unknown Author"
"Scott, Walter"
"Peacock, Thomas Love"
"Linnean Society of London"
"Smith, Edgar Fahs"
"Various"
"Finlay, Roger Thompson"
"Victor, Metta Victoria Fuller"
"Froude, James Anthony"
"Goldsmith, Milton"
"Jastrow, Morris"
"Various"
"Giles, Herbert Allen"
"Doubleday, Abner"
"Zerbe, James Slough"
"Manning, J. C."
"Winslow, Anna Green"
"Bangs, John Kendrick"
"Moir, D. M. (David Macbeth)"
"James, William"
"Olcott, William Tyler"
"Daudet, Alphonse"
"Burritt, M. C. (Maurice Chase)"
"Burkett, Charles William"
"Unknown Author"
"Dillmont, Thérèse de"
"Unknown Author"
"Evelyn, John"
"Various"
"France, Anatole"
"Spyri, Johanna"
"Smith, E. E. (Edward Elmer)"
"Unknown Author"
"United States. Work Projects Administration"
"Hamilton, Frederick W. (Frederick William)"
"Norton, Andre"
"Hancock, H. Irving (Harrie Irving)"
"Weyman, Stanley John"
"Brady, Cyrus Townsend"
"Various"
"Various"
"Dickens, Charles"
"Bradley, Marion Zimmer"
"Various"
"Various"
"James, Henry"
"Meynell, Alice"
"Besant, Annie"
"Butler, Joseph"
"Fiske, John"
"Gregorovius, Ferdinand"
"Dilnot, Frank"
"Various"
"Barrie, J. M. (James Matthew)"
"Pansy"
"Wyatt, G. E."
"Hawthorne, Nathaniel"
"Hicklin, John"
"Graham, Frances W."
"Green, John Richard"
"Eliot, George"
"Partridge, G. E. (George Everett)"
"Williamson, A. M. (Alice Muriel)"
"Walling, William English"
"Sadler, Lena K. (Lena Kellogg)"
"Mivart, St. George Jackson"
"Weaver, G. S. (George Sumner)"
"Lamothe-Langon, Etienne-Léon, baron de"
"Dunton, Edith K. (Edith Kellogg)"
"Stewart, Jane L."
"Jones, James Athearn"
"Jones, James Athearn"
"Jones, James Athearn"
"Verne, Jules"
"Unknown Author"
"Unknown Author"
"Francis, Stella M."
"Oldfield, Reuben Bertram"
"Emerson, Alice B."
"Moodie, Susanna"
