author
Jefferson, Thomas
Stribling, T. S. (Thomas Sigismund)
Glaspell, Susan
Blackwood, Algernon
Skeat, Walter W. (Walter William)
Keeling, Annie E.
Wilkinson, Spenser
Havergal, Frances Ridley
Halleck, Reuben Post
Daniel, Florence
Caldecott, Randolph
Hunt, Leigh
Polo, Marco
Gasparin, Agénor, comte de
Heffner, George H.
Cram, Ralph Adams
Airy, George Biddell
Caesar, Julius
Bennett, Arnold
Freeman, Edward A. (Edward Augustus)
Cary, Henry Francis
Epictetus
Lenclos, Ninon de
Wren, Percival Christopher
Greenwood, Arthur
Grant, Ulysses S. (Ulysses Simpson)
Vizetelly, Ernest Alfred
Darwin, Erasmus
Jacobus, de Cessolis, active 1288-1322
Hakluyt, Richard
Kitson, Harry Dexter
Gardiner, A. G. (Alfred George)
Rizal, José
Harris, Thaddeus Mason
Roget, Peter Mark
Bury, J. B. (John Bagnell)
Frey, Hildegard G.
Old Sleuth
Kossuth, Lajos
Ellenborough, Edward Law, Earl of
Bridge, Cyprian, Sir
Hardy, Thomas
Lingard, John
Mommsen, Theodor
Locke, William John
De Quincey, Thomas
Shiel, M. P. (Matthew Phipps)
Hobson, J. A. (John Atkinson)
Melville, Herman
Bullitt, William C. (William Christian)
Schopenhauer, Arthur
Abercrombie, Lascelles
Pindar
Ostrovsky, Aleksandr Nikolaevich
Stowe, Harriet Beecher
Alger, Horatio, Jr.
Chaplin, Ralph
Newell, Jane H. (Jane Hancox)
Barrett, Frank
Walton, O. F., Mrs.
McCleary, J. T. (James Thompson)
Fox, John
Merrill, Rufus
Draycott, Gladys M.
Allen, James
Spafford, Oliver
Falkner, John Meade
Phelps, Elizabeth Stuart
Rostand, Edmond
Sheard, Virna
Lomax, E. L. (Edward Lloyd)
Rushkoff, Douglas
Mason, A. E. W. (Alfred Edward Woodley)
Bramah, Ernest
Torrey, Bradford
Stevenson, Robert Louis
Eliot, George
Brayman, James O.
Barrie, J. M. (James Matthew)
Lucas, E. V. (Edward Verrall)
Jagor, Fedor
Miller, John Maurice
Bingham, Hiram
Willson, Thomas E.
Appleton, Victor
Le Feuvre, Amy
Scott, Walter
Altsheler, Joseph A. (Joseph Alexander)
Litchfield, Grace Denio
Sterne, Laurence
Eastman, Mary H. (Mary Henderson)
Home, Gordon
Bolles, John R. (John Rogers)
Thomson, A. T., Mrs.
Cobb, Irvin S. (Irvin Shrewsbury)
Swift, Jonathan
Burton, Robert
Coleridge, Samuel Taylor
Haywood, Eliza Fowler
Daggett, David
Dunsany, Lord
Consumers' League of New York City
University of Oxford. Faculty of Modern History
Gogol, Nikolai Vasilevich
Cozzens, Samuel Woodworth
Christian Brothers
Boyd, Mary Stuart
Crowquill, Alfred
Sinclair, May
Inglis, James
Bishop, Nathaniel H. (Nathaniel Holmes)
Machiavelli, Niccolò
Livy
Hewet, Henry W.
Wilder, Sampson Vryling Stoddard
Couturat, Louis
Griggs, Edward Howard
Johnson, James
First Presbyterian Church (Marion, Ohio). Ladies' Aid Society
Favenc, Ernest
Kitson, Arthur
Yerkes, Robert Mearns
Toombs, Frederick R.
Farrar, F. W. (Frederic William)
Beaumont, Francis
Vale, Ferna
Webster, Angus Duncan
Teachers of the School Street Universalist Sunday School. Boston
Wallace, Alfred Russel
Griffiths, Charles John
Cox, James
Saint-Pierre, Bernardin de
Beesly, A. H. (Augustus Henry)
Leighton, John
Dwyer, James Francis
Fellowes, W. D. (William Dorset)
Archer, William
Emmerich, Anna Katharina
Rolland, Romain
Camp, Wadsworth
Roth, Lewis
Burgess, Gelett
Staley, Edgcumbe
Riley, Harvey
Seton, Ernest Thompson
Benson, E. F. (Edward Frederic)
Smiles, Samuel
Whicher, George Frisbie
Young, Egerton Ryerson
Haggard, H. Rider (Henry Rider)
Davies, Ebenezer
Douglas, O.
Millay, Edna St. Vincent
Donnell, Annie Hamilton
Jenness, Theodora R. (Theodora Robinson)
Standish, Burt L.
Braddon, M. E. (Mary Elizabeth)
United States. War Department
Hawks, Francis L. (Francis Lister)
Hall, Mosiah
Green, Horace
Cambrensis, Giraldus
Taylor, Bayard
Sunity Devee, Maharani of Cooch Behar
Ballantyne, R. M. (Robert Michael)
Palmer, Frederick
Lagerlöf, Selma
Burnham, Margaret
Frye, William Edward
Marlowe, Christopher
Jacob, P. L.
Futrelle, Jacques
Adams, Samuel Hopkins
Aytoun, William Edmondstoune
Hill, Samuel Charles
Sanday, W. (William)
Morley, John
Hughes, Rupert
Lincoln, Jeanie Gould
Glyn, Elinor
Frank, Tenney
Lambert Chambers, Mrs.
Aitken, Edward Hamilton
France, Hector
Kreisler, Fritz
Woodson, Carter Godwin
Furse, Katharine
Murray, D. L. (David Leslie)
Ward, John
De Windt, Harry
Burt, Katharine Newlin
Tarkington, Booth
Hamsun, Knut
Wilderspin, Samuel
Chesnutt, Charles W. (Charles Waddell)
Moore, Frederick Ferdinand
Leighton, Robert
Abbott, Jacob
Osborne, David, Mrs. (Fanny)
Bourne, John, C.E.
Banerjea, S. B.
Carroll, Lewis
Clay, Albert Tobias
Wetterau, John Moncure
Ruhl, Arthur
Marcantonio, Vito
Steele, Richard, Sir
Aldrich, Mildred
Johnson, James Weldon
Smith, Elva Sophronia
Picton, J. Allanson (James Allanson)
Williamson, A. M. (Alice Muriel)
Morse, Samuel Finley Breese
Davis, Richard Harding
Housman, Laurence
Harper, Frances Ellen Watkins
Grimm, Jacob
Millington, W. H.
Brinton, Daniel G. (Daniel Garrison)
Jacobs, Harriet A. (Harriet Ann)
Stephen, Leslie
Trusta, H.
Pfeiffer, Ida
Barbour, Ralph Henry
Cohen, Octavus Roy
Fénelon, François de Salignac de La Mothe-
Middleton, Richard
Cyr, Ellen M.
Wharton, Edith
Williams, Helen Maria
Cheever, Harriet A. (Harriet Anna)
Henty, G. A. (George Alfred)
Allston, Washington
France, Anatole
Porterfield, Allen Wilson
Mill, Mrs. (Jean Oliver)
Hazlitt, William
Barnum, Richard
Doctorow, Cory
Quigley, Dorothy
Nevinson, Henry Woodd
Cicero, Marcus Tullius
Ainsworth, William Harrison
Stuart, Ruth McEnery
Whyte-Melville, G. J. (George John)
Souttar, Henry Sessions
Ainger, Alfred
Hartness, James
Stoddard, John L. (John Lawson)
Bonte, Willard
Ramakrishna Pillai, T. (Thottakadu)
Fenn, George Manville
Corner, Miss (Julia)
Stratton-Porter, Gene
Falckenberg, Richard
Johnson, Edward A. (Edward Austin)
Woodworth, Francis C. (Francis Channing)
Malan, César
Marchant, Bessie
Cairns, John
Knevels, Gertrude
Schoolcraft, Henry Rowe
Tuthill, Cornelia L. (Cornelia Louisa)
Edgeworth, Maria
Martin, Benj. N. (Benjamin Nicholas)
Terry, Jean F. (Jean Finlay)
Rinehart, Mary Roberts
Strong, James
Rousseau, Jean-Jacques
Steward, Austin
Nye, Bill
Whitney, A. D. T. (Adeline Dutton Train)
Tarrant, W. G. (William George)
Porter, Eleanor H. (Eleanor Hodgman)
Langford, Nathaniel Pitt
Houghton, Eliza Poor Donner
Ellis, Edward Sylvester
Hornung, E. W. (Ernest William)
Gibbs, J. Arthur (Joseph Arthur)
Webster, Henry Kitchell
Bannerman, Helen
Macaulay, Rose
Maggard, James H.
Chalmers, Margaret Piper
Sheldon, Lurana
Kincaid, C. A. (Charles Augustus)
Drinkwater, John
Baldwin, James
Betham, Matilda
Cooke, Marjorie Benton
Becker, Carl Heinrich
McGowan, Richard
Bénézet, Louis Paul
King, Philip Parker
Reeks, H. Caulton (Harry Caulton)
Lauder, Harry, Sir
Curtis, William Eleroy
Kelly, Sophia
Webb, Frank J.
Gent, Thomas
Price, Edith Ballinger
Fisher, Dorothy Canfield
Sinclair, Bertrand W.
Poston, Charles D. (Charles Debrille)
Bairnsfather, Bruce
Pinchot, Gifford
Defoe, Daniel
Johnston, William
Symonds, John Addington
Hardley, Robert
Swedenborg, Emanuel
Cody, Sherwin
Sylvester, Charles Herbert
Morrison, Arthur
Doddridge, Philip
Parnell, Thomas
United States. Work Projects Administration
Fowler, W. Warde (William Warde)
Dowd, Emma C.
Gregory, Lady
Vaknin, Samuel
Jung, Nizamat, Sir
Sheldon, Georgie, Mrs.
Zakrzewska, Marie E. (Marie Elizabeth)
American Anti-Slavery Society
Budge, E. A. Wallis (Ernest Alfred Wallis), Sir
Balzac, Honoré de
Ade, George
Holmes, Mary Jane
Geldart, Thomas, Mrs.
Buffa, John
Barker, Edward Harrison
Moore, George Augustus
Bangs, John Kendrick
McMaster, John Bach
Gruelle, Johnny
Gatty, Alfred, Mrs.
Benson, Stella
Miller, Alice Duer
Mair, G. H. (George Herbert)
Murray, Henry A. (Henry Anthony)
Colman, Mrs. (Pamela Chandler)
Lorentz, H. A. (Hendrik Antoon)
Aesop
Krishnamurti, J. (Jiddu)
Cable, Boyd
Lincoln, Joseph Crosby
Bernhardi, Friedrich von
McPherson, J. H. T. (John Hanson Thomas)
Anderton, Thomas
Hare, Christopher
Tilton, George Henry
Eberhard, Wolfram
Doubleday, Russell
Gaskell, Elizabeth Cleghorn
Oppenheim, James
Moffett, Cleveland
Besant, Annie
Banks, Nancy Huston
Powell, E. Alexander (Edward Alexander)
Ferber, Edna
Yarrow, H. C. (Harry Crécy)
Biddulph, J. (John)
O'Brien, Frederick
Marshall, Edison
Woodhouse, Frederic W.
Holmes, Edric
Williams, Albert Rhys
Pye, Charles
Marie, de France, active 12th century
Lynde, Francis
Burr, Agnes Rush
Henry, Alice
Church, Ella Rodman
Brewer, Ebenezer Cobham
Gould, Hannah Flagg
Mower, Sarah S.
Xavier, M.
Collins, W. Lucas (William Lucas)
Carey, William
Griffiths, Arthur
Sturge, Joseph
Fielding, Henry
Robinson, Albert G. (Albert Gardner)
Booth-Tucker, Frederick St. George De Lautour
Ralphson, G. Harvey (George Harvey)
Collingwood, Stuart Dodgson
Dryden, John
Benezet, Anthony
Phillips, Ulrich Bonnell
Bain, F. W. (Francis William)
United States. Bureau of the Census
Saxo, Grammaticus
Beach, Rex
Bacheller, Irving
Leacock, Stephen
Chesterton, G. K. (Gilbert Keith)
Watson, Henry C. (Henry Clay)
Gray, Mabel Thayer
Thompson, William
Newton, Richard
Wood, Andrew Y.
Bridges, T. C. (Thomas Charles)
King, Grace Elizabeth
Graves, J. A. (Jackson Alpheus)
Oliver, Stephen
Fuller, Margaret
Pardoe, Miss (Julia)
Allen, James Lane
Theocritus
Lofting, Hugh
Priest, William
Stillman, William James
Grinnell, George Bird
Prentiss, George Lewis
Christie, Agatha
Squires, Richard C.
Coulton, Miss
Goodrich, Samuel G. (Samuel Griswold)
Lewis, Sinclair
Wright, Mabel Osgood
Galton, Francis
Bloomfield, Nathaniel
Brieux, Eugène
Graves, Charles L. (Charles Larcom)
McCutcheon, George Barr
Bennett, John
Scott, Robert Falcon
Jackson, George
Lowndes, Marie Belloc
Cooper, Michael D.
Gibbs, George
Sedgwick, Susan Anne Livingston Ridley
Pack, Charles Lathrop
Rohmer, Sax
Hough, Emerson
Hanna, Abigail Stanley
Gissing, George
Bell, Lilian
Phillips, David Graham
Brown, Goold
Beers, Henry A. (Henry Augustin)
Franklin, Miles
Benson, Robert Hugh
Gosse, Edmund
Webster, Thomas
Wagner, Richard
Wallas, Graham
Trollope, Anthony
Comfort, Will Levington
Smith, Mabell S. C. (Mabell Shippie Clarke)
Peabody, Josephine Preston
Russell, George William Erskine
Hecker, Eugene A. (Eugene Arthur)
Blasco Ibáñez, Vicente
Schurman, Jacob Gould
Burke, Kathleen
Duncan, Sara Jeannette
Cooke, George Willis
Gibbs, Philip
Lillibridge, Will
Xenophon
Goodloe, Abbe Carter
Murray, James Augustus Henry, Sir
Beethoven, Ludwig van
Kent, Charles Foster
Ford, Henry Jones
Wyss, Johann David
Hall, Tom
Wright, Harold Bell
Mitrany, David
Robins, Edward
Monteith, James
Ferrall, S. A. (Simon Ansley)
Putnam, George Haven
Hutchins, Cortelle
Colette
Dandin, active 7th century
Roosevelt, Theodore
Michelson, Albert A. (Albert Abraham)
Fagg, John Gerardus
Bianco, Margery Williams
Darling, Esther Birdsall
Church, R. W. (Richard William)
Savigny, Jean Baptiste Henri
Withers, Hartley
Electronic Frontier Foundation
Library of Congress. Copyright Office
Dumas, Alexandre
Draper, John William
Haworth, Paul Leland
Meynell, Alice
Sewell, Anna
Whipple, Wayne
Disraeli, Benjamin, Earl of Beaconsfield
Swinburne, T. R.
Jefferies, Richard
Dobie, Charles Caldwell
Colum, Padraic
Burt, Emily Rose
Webster, Frank V.
Pink, Alfred
Angell, Norman
Bühler, Georg
Burslem, Rollo Gillespie
Bragdon, Claude Fayette
Congreve, William
Benson, Arthur Christopher
Richmond, Grace S. (Grace Smith)
Burgess, Thornton W. (Thornton Waldo)
Lawless, Emily
Weyman, Stanley John
Bill, Ledyard
Lyth, J. (John)
Archer, W. G. (William George)
Rush, Richard
Naylor, H. R.
Earle, Augustus
Finck, Henry Theophilus
Spurgeon, Caroline F. E. (Caroline Frances Eleanor)
Herr, Charlotte B. (Charlotte Bronte)
Mackey, Albert Gallatin
Bompas, Cecil Henry
Jordan, David Starr
Rougemont, Louis de
Le Sage, Alain René
University of Pennsylvania. Seybert Commission for Investigating Modern Spiritualism
Guizot, François
Southall, Eliza Allen
Rhodes, Eugene Manlove
Beers, Clifford Whittingham
Royden, A. Maude (Agnes Maude)
Symons, John C. (John Christian)
O'Brien, Seumas
Brame, Charlotte M.
Wallace, W. Stewart (William Stewart)
Cowper, William
Boldrewood, Rolf
Graham, Stephen
Stanton, Elizabeth Cady
James, William
Carter, Nicholas (House name)
Head, Franklin H. (Franklin Harvey)
Dodge, Mary Mapes
Biggs, Charlotte
Stables, Gordon
Furman, Lucy S.
Kennedy, Charles Rann
Rabelais, François
Burritt, Elihu
Grote, George
Havell, E. B. (Ernest Binfield)
Spooner, Lysander
Williams, Cora Lenore
Mühlbach, L. (Luise)
Wilcox, Ella Wheeler
Sanborn, Kate
Dowsett, C. F. (Charles Finch)
Payn, James
Freeman, John
Darrow, Clarence
Conway, Moncure Daniel
De la Mare, Walter
Russell, Ruth
Cohen, Reuben
Fowler, Thomas
Richardson, Benjamin Ward
Moses, Montrose Jonas
Byrum, Isabel C. (Isabel Coston)
Birney, Catherine H.
Waters, Clara Erskine Clement
Jameson, Mrs. (Anna)
Pike, H. Lee M. (Henry Lee Mitchell)
Wilson, Jennie L. (Jennie Lansley)
Swisshelm, Jane Grey Cannon
Newman, Francis William
Major, Charles
Van Doren, Alice B. (Alice Boucher)
Roberts, Emma
Knox, Thomas Wallace
Tilden, Joe
Ryan, Agnes E.
Walpole, Horace
Worcester, Dean C. (Dean Conant)
Johnston, Charles
Bolton, Sarah Knowles
Webster, Bob
Garrison, Adele
Brooks, Stratton D. (Stratton Duluth)
Kipling, Rudyard
Prescott, William Hickling
Stewart, Jane L.
Keller, Helen
Yonge, Charlotte M. (Charlotte Mary)
Nitobe, Inazo
Woman's Press Club of New York City
Hearn, Lafcadio
Howells, William Dean
Brawley, Benjamin Griffith
Potter, Beatrix
Lorimer, George Horace
Herrick, Robert
Goldfrap, John Henry
Stokes, John Lort
Hoffmann, Heinrich
Labat, maître d'armes
Willoughby, Westel Woodbury
Steiner, Bernard C. (Bernard Christian)
Cato, Marcus Porcius
Traill, H. D. (Henry Duff)
Royová, Kristína
Francis, M. E.
Babbage, Charles
Williams, William Klapp
Kalidasa
Stretton, Hesba
Calderón de la Barca, Pedro
Johnston, Annie F. (Annie Fellows)
Peattie, Elia Wilkinson
Quick, Herbert
Packard, Frank L. (Frank Lucius)
Kinzie, John H., Mrs.
Huard, Frances Wilson
Miles, Anna Marie
Knibbs, Henry Herbert
Crockett, S. R. (Samuel Rutherford)
Foss, James Henry
Turgenev, Ivan Sergeevich
Phillips, Henry Wallace
Catherwood, Mary Hartwell
Delaumosne
Coulter, John Merle
Ellms, Charles
Fetter, Frank A. (Frank Albert)
Greg, W. W. (Walter Wilson)
Noyes, Alfred
Dorr, Rheta Childe
Long, C. C.
Benson, B. K. (Blackwood Ketcham)
Henderson, G. F. R. (George Francis Robert)
Stimson, Frederic Jesup
Manly, William Lewis
Kellogg, E. E. (Ella Ervilla)
Mims, Edwin
Little, Frances
Dickinson, Emily
Bouton, John Bell
Birrell, Augustine
Riddle, A. G. (Albert Gallatin)
Tyndall, John
D. D. Cottrell's Subscription Agency
Litchfield, Frederick
Reisner, George Andrew
Payne, Dutton
Kyne, Peter B. (Peter Bernard)
Frazer, James George
England, George Allan
Bell, J. J. (John Joy)
Darwin, Charles
Atherton, Gertrude Franklin Horn
Van Middeldyk, R. A. (Rudolph Adams)
Adams, Andy
Newton, Richard Heber
Björkman, Edwin
Richardson, David Lester
Wade, J. H. (Joseph Henry)
Taylor, John M. (John Metcalf)
Lanier, Sidney
Gladden, Washington
Hazlitt, William Carew
Andrews, Yvette Borup
Record, Samuel J. (Samuel James)
Ford, Paul Leicester
Hay, Ian
Ingelow, Jean
Broughton, Rhoda
Cook, Herbert Frederick
Hall, Thornton
Brown, John
Andersen, H. C. (Hans Christian)
McIntyre, John Thomas
Sherwood, Mrs. (Mary Martha)
Nearing, Scott
Denham, John, Sir
Ware, Sedley Lynch
Terry, Ellen
Montefiore, Judith Cohen, Lady
Kennan, George
Woodberry, George Edward
Crile, George Washington
Beston, Henry
De Forest, John William
Harte, Bret
Huysmans, J.-K. (Joris-Karl)
Nuttall, P. Austin
Rid, Samuel
Bredon, Juliet
Lawson, Thomas William
Stoddard, Elizabeth
Harris, Miriam Coles
Walpole, Hugh, Sir
Gautier, Théophile
Greenbaum, Florence Kreisler
Iyenaga, T. (Toyokichi)
Society for Pure English
Brooks, Noah
Aguilar, Grace
Salisbury, William
Smith, Uriah
Richards, Ellen H. (Ellen Henrietta)
Gorostiza, Manuel Eduardo  de
Amir Khusraw Dihlavi
Warren, Samuel
Towers, Walter Kellogg
Miller, W. G. (Wesson Gage)
White, William Allen
Thomson, James
Eddy, Arthur Jerome
Reformed Presbytery of North America
Elliot, Frances Minto Dickinson
Carman, Bliss
Synge, J. M. (John Millington)
Headlam, James Wycliffe
Castlemon, Harry
Bryant, Walter W. (Walter William)
Halstead, Murat
Rustichello of Pisa
Reeves, William Pember
Lampman, Archibald
Barbusse, Henri
Hutchinson, William E.
Slosson, Annie Trumbull
Curtin, D. Thomas (Daniel Thomas)
Daubney, William Heaford
Buehler, Huber Gray
Kemble, Fanny
Channing, Edward
A-No. 1
Anghiera, Pietro Martire d'
Routledge, George
Campbell, Robert Granville
Hosmer, James Kendall
Calthrop, S. R. (Samuel Robert)
Foster, Hannah Webster
MacGillivray, John
Jenks, Jeremiah Whipple
Nightingale, Florence
Nicholson, Meredith
Edwards, Amelia Ann Blanford
Kilgour, Peter
Woolf, Virginia
Wood, Benjamin
Warfield, Catherine A. (Catherine Ann)
Guerber, H. A. (Hélène Adeline)
Chaytor, H. J. (Henry John)
Borrow, George
Aiken, Conrad
Reade, Charles
Trollope, Thomas Adolphus
Scribe, Eugène
Bierce, Ambrose
Harraden, Beatrice
Strachey, Lytton
Wetmore, Helen Cody
Atkinson, William Walker
Riis, Jacob A. (Jacob August)
Ramsay, Edward Bannerman
Apess, William
Rand, Ayn
Sorley, W. R. (William Ritchie)
Chekhov, Anton Pavlovich
Marivaux, Pierre Carlet de Chamblain de
Rees, Arthur J. (Arthur John)
Malory, Thomas, Sir
Morrison, John Arch
Dewey, Melvil
Knower, Daniel
Randolph, Mary
Malet, Lucas
Turner, Matthew
Munro, William Bennett
Fletcher, Archibald Lee
Paris, John
Holman, James
Gordon, S. D. (Samuel Dickey)
Turner, Dawson
Corry, Joseph
Thayer, William Roscoe
Abel, Annie Heloise
Osborne, Dorothy
Cole, Fay-Cooper
Fontenoy, marquise de
Cuyler, Theodore L. (Theodore Ledyard)
Hyne, Charles John Cutcliffe Wright
Morris, Gouverneur
Marryat, Frederick
Crane, Laura Dent
Stellman, Louis J. (Louis John)
Van Doren, Carl
Fitzgerald, O. P. (Oscar Penn)
Collins, David
Mair, Charles
Kennedy, James Boyd
Clark, Charles Heber
Ray, Anna Chapin
Chafer, Lewis Sperry
Martinengo-Cesaresco, Evelyn Lilian Hazeldine Carrington, contessa
Marot, Helen
Oemler, Marie Conway
Lynd, Robert
Macleod, Norman
Whipple, Edwin Percy
Hobart, George V. (George Vere)
Carr, Annie Roe
Knight, William Allen
Berry, R. L. (Robert Lee)
Massey, Montague
MacCarthy, Denis Florence
Barry, J. G. H. (Joseph Gayle Hurd)
